id,school,location,date,description,L1,L2,clearance,actions,notes
1,Abernethy Elementary School,Rm 16,7/18/12,Chicago sink drinker,0,11,x,,
2,Abernethy Elementary School,Rm 17,7/18/12,Chicago sink drinker,0,3,x,,
3,Abernethy Elementary School,Rm 3,7/18/12,Chicago sink drinker,0,19,x,filter installed,
4,Abernethy Elementary School,Rm 5,7/18/12,Chicago sink drinker,0,4,,,
5,Abernethy Elementary School,Cafeteria,2/11/12,,1,7,,,
6,Abernethy Elementary School,Gym Left,2/11/12,,2,0,,,
7,Abernethy Elementary School,Gym Right,2/11/12,,1,1,,,
8,Abernethy Elementary School,Rm 1,2/11/12,Chicago sink drinker,2,1,,,
9,Abernethy Elementary School,Rm 13,2/11/12,,7,2,,,
10,Abernethy Elementary School,Rm 14,2/11/12,,6,1,,,
11,Abernethy Elementary School,Rm 16,2/11/12,Chicago sink drinker,44,0,x,filter installed,
12,Abernethy Elementary School,Rm 17,2/11/12,Chicago sink drinker,21,0,x,filter installed,
13,Abernethy Elementary School,Rm 18,2/11/12,Chicago sink drinker,6,2,,,
14,Abernethy Elementary School,Rm 3,2/11/12,Chicago sink drinker,7,0,x,,
15,Abernethy Elementary School,Rm 5,2/11/12,Chicago sink drinker,5,0,,,
16,Abernethy Elementary School,Teachers Lounge,2/11/12,sink,17,0,x,filter installed,
17,Ainsworth Elementary School,A1,1/5/12,Haws sink drinker,9,3,,,
18,Ainsworth Elementary School,Near Rm 8,1/5/12,Elkay single bubbler,3,0,,,
19,Ainsworth Elementary School,Outside east,1/5/12,,2,0,,,
20,Ainsworth Elementary School,Outside west,1/5/12,Elkay single bubbler,0,1,,,
21,Ainsworth Elementary School,Panda Rm,1/5/12,Haws single bubbler,1,0,,,
22,Ainsworth Elementary School,Panda Rm,1/5/12,Sink fixture,2,0,,,
23,Ainsworth Elementary School,Panda room,1/5/12,Haws single bubbler,1,0,,,
24,Ainsworth Elementary School,Rm 5,1/5/12,Chicago sink drinker,3,3,,,
25,Ainsworth Elementary School,Rm 6,1/5/12,Chicago sink drinker,0,0,,,
26,Ainsworth Elementary School,Teachers Rm,1/5/12,Haws sink drinker,32,14,,filter installed,
27,Alameda Elementary School,Cafeteria,12/4/11,,4,0,,,
28,Alameda Elementary School,Kitchen,12/4/11,Food prep sink,0,2,,,
29,Alameda Elementary School,Kitchen,12/4/11,Handwash sink,3,0,,,
30,Alameda Elementary School,Near library left,12/4/11,Central double bubbler,0,0,,,
31,Alameda Elementary School,Near library right,12/4/11,Central double bubbler,0,0,,,
32,Alameda Elementary School,Near room 117,12/4/11,Central double bubbler,0,0,,,
33,Alameda Elementary School,Near Room 128,12/4/11,,6,0,,,
34,Alameda Elementary School,Near Room 133,12/4/11,,0,0,,,
35,Alameda Elementary School,Near room 140 right,12/4/11,,0,0,,,
36,Alameda Elementary School,Room 103,12/4/11,,4,0,,,
37,Alameda Elementary School,Room 201,12/4/11,,2,0,,,
38,Alameda Elementary School,Room 202,12/4/11,,3,1,,,
39,Alameda Elementary School,Staff lounge,12/4/11,,5,3,,,
40,Alameda Elementary School,Near 148,7/18/12,Single bubbler,0,0,,,
41,Alameda Elementary School,Near Rm 201,7/18/12,Halsey Taylor single bubbler,46,0,,filter installed,
42,Alameda Elementary School,Rm 107,7/18/12,Standard single bubbler,7,0,,,
43,Alameda Elementary School,Rm 110,7/18/12,Chicago sink drinker,8,0,,,
44,Alameda Elementary School,Rm 111,7/18/12,Standard single bubbler,3,0,,,
45,Alameda Elementary School,Rm 115,7/18/12,Haws single bubbler,3,0,,,
46,Alameda Elementary School,Rm 139,7/18/12,Haws sink drinker,6,0,,,
47,Alliance High School at Meek,Near Room 106 Left,5/11/12,Elkay single bubbler,42,3,,filter installed,
48,Alliance High School at Meek,Room 110B,6/11/12,Chicago sink drinker,5,0,,,
49,Applegate Elementary School,Room 12,5/20/12,Chicago sink drinker,18,0,,No action,no filter - field verified
50,Applegate Elementary School,Near Room 3,6/17/12,Elkay single bubbler,0,0,,,
51,Applegate Elementary School,Near Room 7,6/17/12,,0,0,,,
52,Arleta Elementary School,Room 32,2/5/12,Central single bubbler,3,16,,filter installed,
53,Arleta Elementary School,Room 33,2/5/12,Central single bubbler,6,12,,,
54,Arleta Elementary School,Room 35,2/5/12,Central single bubbler,8,10,,,
55,Arleta Elementary School,Across from Rm 7,2/7/12,,24,5,,"""fixture replaced, filter installed 10/1/2001""",
56,Arleta Elementary School,Across from Rm 8,2/7/12,,15,4,,,
57,Arleta Elementary School,Cafeteria,2/7/12,,16,11,,"""fixture replaced, filter installed outside caf_ (10/1/2001) same location?""",
58,Arleta Elementary School,Library,2/7/12,,10,3,,,
59,Arleta Elementary School,Rm 34,2/7/12,,4,12,,,
60,Arleta Elementary School,Rm 36,2/11/12,Central single bubbler,7,6,,,
61,Astor Elementary School,CafÅ_,9/9/04,Central single bubbler,4,0,,,
62,Astor Elementary School,Gym,9/9/04,Haws in-wall fountain,3,0,,,
63,Astor Elementary School,Hall by Room 12,9/9/04,Central single bubbler,4,0,,,
64,Astor Elementary School,Hall by Room 34,9/9/04,Central single bubbler,5,0,,,
65,Astor Elementary School,Hall by Room 49,9/9/04,Central double bubbler,2,0,,,
66,Astor Elementary School,Room 18,9/9/04,Central sink drinker,4,0,,,
67,Astor Elementary School,Room 19,9/9/04,Central sink drinker,2,0,,,
68,Astor Elementary School,Room 20,9/9/04,Central sink drinker,3,0,,,
69,Astor Elementary School,Room 21,9/9/04,Central sink drinker,5,0,,,
70,Astor Elementary School,Room 23,9/9/04,Central single bubbler,9,0,,,
71,Astor Elementary School,Room 32,9/9/04,Central sink drinker,4,0,,,
72,Astor Elementary School,Room 33,9/9/04,Central sink drinker,4,0,,,
73,Astor Elementary School,Room 34,9/9/04,Central sink drinker,4,0,,,
74,Astor Elementary School,Room 36,9/9/04,Central sink drinker,3,0,,,
75,Astor Elementary School,Room 48,9/9/04,Central sink drinker,8,0,,,
76,Astor Elementary School,Room 49,9/9/04,Central sink drinker,3,0,,,
77,Astor Elementary School,Room 50,9/9/04,Central sink drinker,2,0,,,
78,Astor Elementary School,Room 6,9/9/04,Central single bubbler,24,0,x,"""fixture replaces, filter installed 1/11/02""",
79,Astor Elementary School,Room 7,9/9/04,Central single bubbler,3,0,,,
80,Astor Elementary School,Room 8,9/9/04,Central single bubbler,3,0,,,
81,Astor Elementary School,Room 9,9/9/04,Central single bubbler,4,0,,,
82,Astor Elementary School,Across from Rm 40,11/29/11,sexauer single bubbler,5,1,,,
83,Astor Elementary School,Near Rm 23 Left,4/8/12,Elkay double bubbler,0,0,,,
84,Astor Elementary School,Near Rm 23 Right,4/8/12,Elkay double bubbler,5,0,,,
85,Astor Elementary School,Near Rm 40,4/8/12,sexauer single bubbler,4,0,,,
86,Astor Elementary School,Rm 14,4/8/12,Central single bubbler,5,0,,,
87,Astor Elementary School,Rm 23,4/8/12,sexauer single bubbler,44,0,,"""fixture replaces, filter installed 1/11/02""",
88,Astor Elementary School,Rm 24,4/8/12,Central single bubbler,3,0,,,
89,Astor Elementary School,Rm 6,4/8/12,sexauer single bubbler,2,0,x,,
90,Astor Elementary School,Rm 7,4/8/12,sexaure single bubbler,31,0,,"""fixture replaces, filter installed 1/11/02""",
91,Astor Elementary School,Rm 8,4/8/12,sexaure single bubbler,1,0,,,
92,Astor Elementary School,Rm 9,4/8/12,sexauer single bubbler,2,0,,,
93,Atkinson Elementary School,125 Left,9/9/04,Chicago double bubbler,0,0,,,
94,Atkinson Elementary School,125 Right,9/9/04,Chicago double bubbler,1,0,,,
95,Atkinson Elementary School,Caf_ North Wall,9/9/04,,8,0,,,
96,Atkinson Elementary School,Rom 12,9/9/04,Central single bubbler,2,0,,,
97,Atkinson Elementary School,Room 100,9/9/04,Central single bubbler,2,0,,,
98,Atkinson Elementary School,Room 101,9/9/04,Central single bubbler,4,0,,,
99,Atkinson Elementary School,Room 103,9/9/04,,3,0,,,
100,Atkinson Elementary School,Room 104,9/9/04,Central single bubbler,2,0,,,
101,Atkinson Elementary School,Room 105,9/9/04,Central single bubbler,2,0,,,
102,Atkinson Elementary School,Room 106,9/9/04,Central single bubbler,4,0,,,
103,Atkinson Elementary School,Room 107,9/9/04,Central single bubbler,1,0,,,
104,Atkinson Elementary School,Room 108,9/9/04,Central single bubbler,2,0,,,
105,Atkinson Elementary School,Room 109,9/9/04,Central single bubbler,1,0,,,
106,Atkinson Elementary School,Room 110,9/9/04,Central single bubbler,1,0,,,
107,Atkinson Elementary School,Room 111,9/9/04,,2,0,,,
108,Atkinson Elementary School,Room 112,9/9/04,Central single bubbler,2,0,,,
109,Atkinson Elementary School,Room 113,9/9/04,Central single bubbler,1,0,,,
110,Atkinson Elementary School,Room 114,9/9/04,Central single bubbler,1,0,,,
111,Atkinson Elementary School,Room 115,9/9/04,Central single bubbler,2,0,,,
112,Atkinson Elementary School,Room 116,9/9/04,Central single bubbler,2,0,,,
113,Atkinson Elementary School,Room 120,9/9/04,Central single bubbler,1,0,,,
114,Atkinson Elementary School,Cafeteria south,2/12/12,Elkay single bubbler,2,0,,,
115,Atkinson Elementary School,Rm 119,2/12/12,Central single bubbler,5,0,,,
116,Beach Elementary School,A12,3/12/12,Central single bubbler,3,1,,,
117,Beach Elementary School,A3,3/12/12,Standard single bubbler,7,5,,,
118,Beach Elementary School,A4,3/12/12,Chicago sink drinker,2,0,,,
119,Beach Elementary School,Near Rm 114,3/12/12,Central single bubbler,2,0,,,
120,Beach Elementary School,P1,3/12/12,Central sink drinker,3,0,,,
121,Beach Elementary School,P2,3/12/12,Haws sink drinker,21,10,,filter installed,
122,Beach Elementary School,P3,3/12/12,Chicago sink drinker,0,0,,,
123,Beaumont Middle School,Across from 23A,3/24/12,Standard single bubbler,1,1,,,
124,Beaumont Middle School,Cafeteria,3/24/12,Standard single bubbler,2,1,,,
125,Beaumont Middle School,East gym south fountain,3/24/12,In-wall fountain,9,7,,,
126,Beaumont Middle School,Near Rm 109,3/24/12,Halsey Taylor single bubbler,0,1,,,
127,Beaumont Middle School,Near Rm 140,3/24/12,Central double bubbler,11,4,,,
128,Beaumont Middle School,Near Rm 210 - filter present,3/24/12,Halsey Taylor single bubbler,1,0,,,
129,Beaumont Middle School,West Gym,3/24/12,Haws in-wall fountain,1,1,,,
130,Benson High School,C111,5/28/12,Elkay single bubbler,0,0,,,
131,Benson High School,C112,5/28/12,Elkay single bubbler,0,0,,,
132,Benson High School,C122,5/28/12,Elkay single bubbler,0,0,,,
133,Benson High School,C139,5/28/12,Elkay single bubbler,0,0,,,
134,Benson High School,C149,5/28/12,Elkay single bubbler,0,0,,,
135,Benson High School,Cafeteria,5/28/12,Elkay single bubbler,0,0,,,
136,Benson High School,D140,5/28/12,Central single bubbler,1,0,,,
137,Benson High School,E103,5/28/12,Haws sink drinker,7,3,,,
138,Benson High School,E105,5/28/12,Elkay single bubbler,0,0,,,
139,Benson High School,E136,5/28/12,Central sink drinker,0,0,,,
140,Benson High School,E149,5/28/12,Elkay single bubbler,0,0,,,
141,Benson High School,Near F102,5/28/12,Central single bubbler,10,3,,,
142,Benson High School,Near Room 117,5/28/12,Elkay single bubbler,0,0,,,
143,Benson High School,Near Room 211,5/28/12,Elkay single bubbler,0,0,,,
144,Benson High School,Near Room 222,5/28/12,Elkay single bubbler,0,0,,,
145,Benson High School,Outside cafeteria,5/28/12,Central double bubbler,0,0,,,
146,Benson High School,Room 236,5/28/12,Chicago sink drinker,7,2,,,
147,Benson High School,West of auditorium,5/28/12,Halsey Taylor double bubbler,2,0,,,
148,Benson High School,D140,6/17/12,Central single bubbler,1,1,,,
149,Benson High School,E102,6/17/12,Elkay single bubbler,0,0,,,
150,Benson High School,E110,6/17/12,Elkay single bubbler,0,0,,,
151,Benson High School,E116,6/17/12,sexauer single bubbler,2,0,,,
152,Benson High School,E123,6/17/12,Central sink drinker,1,1,,,
153,Benson High School,E127,6/17/12,Central sink drinker,1,0,,,
154,Benson High School,E131,6/17/12,Central sink drinker,1,0,,,
155,Benson High School,E148,6/17/12,Haws single bubbler,2,1,,,
156,Benson High School,Girls locker room,6/24/12,Central single bubbler,0,0,,,
157,Benson High School,Near G109,6/24/12,Elkay single bubbler,0,0,,,
158,Benson High School,Near girls locker room,6/24/12,Elkay single bubbler,8,14,,,
159,Benson High School,Near training room,6/24/12,Haws in-wall fountain,3,1,,,
160,Benson High School,North mens locker room,6/24/12,In-wall fountain,2,0,,,
161,Benson High School,North of weight room,6/24/12,Haws in-wall fountain,4,0,,,
162,Benson High School,Radio station,6/24/12,Single bubbler,0,0,,,
163,Benson High School,West gym,6/24/12,Double fountain,2,1,,,
164,Benson High School,West mens locker room,6/24/12,Haws in-wall fountain,3,2,,,
165,BESC,By music shop,7/2/12,Elkay single cooler,3,4,,,
166,BESC,Carpenter shop,7/2/12,Sunroc cooler,5,7,,,
167,BESC,First floor by elevator - left,7/2/12,Elkay single cooler,0,1,,,
168,BESC,Human Resources office,7/2/12,Elkay single cooler,2,2,,,
169,BESC,IT room,7/2/12,Elkay single cooler,0,0,,,
170,BESC,Near 150,7/2/12,Elkay single cooler,0,0,,,
171,BESC,Near 260,7/2/12,Elkay single cooler,0,0,,,
172,BESC,Near 270,7/2/12,Elkay single cooler,2,4,,,
173,BESC,Near L1-60,7/2/12,EZ H20,0,0,,,
174,BESC,Near L2-29,7/2/12,Elkay single cooler,0,0,,,
175,BESC,Near maintenance office,7/2/12,Elkay single cooler,2,2,,,
176,BESC,Plumbing shop,7/2/12,unmarked cooler,0,0,,,
177,BESC,Warehouse,7/2/12,Elkay single cooler,6,7,,,
178,Beverly Cleary at Fernwood,210C,3/24/12,Central sink drinker,13,2,,,
179,Beverly Cleary at Fernwood,East Gym,3/24/12,,0,0,,,
180,Beverly Cleary at Fernwood,Rm 139 North,3/24/12,Chicago sink drinker,2,1,,,
181,Beverly Cleary at Fernwood,Rm 139 South,3/24/12,Chicago sink drinker,2,0,,,
182,Beverly Cleary at Fernwood,West Gym,3/24/12,In-wall fountain,1,0,,,
183,Boise-Eliot Elementary School,Near 211 right fixture,7/8/12,Central double bubbler,0,0,,,
184,Boise-Eliot Elementary School,Rm 102,7/8/12,Chicago sink drinker,0,2,,,
185,Boise-Eliot Elementary School,Rm 104,7/8/12,Single bubbler,0,2,,,
186,Boise-Eliot Elementary School,Rm 201,7/8/12,Chicago sink drinker,4,0,,,
187,Boise-Eliot Elementary School,Near Rm 211,3/11/12,Central double bubbler,0,0,,,
188,Boise-Eliot Elementary School,Rm 104,3/11/12,chicago sink drinker,3,0,,,
189,Bridger Elementary School,Rm 10,2/25/12,Central single bubbler,0,0,,,
190,Bridger Elementary School,Portable 2,2/27/12,Haws sink drinker,14,2,,,
191,Bridger Elementary School,Portable 3,2/27/12,Haws sink drinker,1,0,,,
192,Bridger Elementary School,Portable 4,2/27/12,Haws sink drinker,1,0,,,
193,Bridger Elementary School,Rm 7,2/27/12,Chicago sink drinker,6,0,,,
194,Bridlemile Elementary School,Gym,6/23/12,Sexauer in wall,15,0,,,
195,Bridlemile Elementary School,Portable,6/23/12,Chicago sink drinker,46,15,,filter installed,
196,Buckman Elementary School,Near Rm 103 Left,2/18/12,Elkay double bubbler,0,0,,,
197,Buckman Elementary School,Near Rm 103 Right,2/18/12,Elkay double bubbler,2,0,,,
198,Buckman Elementary School,Rm 100 - low pressure,2/18/12,Chicago sink drinker,5,2,,,
199,Buckman Elementary School,Rm 101,2/18/12,Central sink drinker,15,3,,,
200,Buckman Elementary School,Rm 114,2/18/12,Chicago sink drinker,4,1,,,
201,Buckman Elementary School,Rm 208,2/18/12,Chicago sink drinker,23,11,,filter installed,
